rental_id,customer_id,vehicle_id,start_rental_date,return_rental_date,per_day_rental_fee_paid,per_day_insurance_fee_paid
1,32,4,3/4/2019,3/6/2019,No,No
2,42,39,3/23/2019,3/24/2019,Yes,Yes
3,33,14,10/18/2020,10/24/2020,No,No
4,44,25,10/10/2020,10/17/2020,Yes,Yes
5,24,26,9/18/2020,9/23/2020,Yes,Yes
6,25,23,1/25/2019,1/31/2019,Yes,Yes
7,48,14,10/26/2020,10/29/2020,Yes,No
8,11,25,10/13/2020,10/18/2020,Yes,No
9,16,16,11/22/2019,11/27/2019,Yes,No
10,41,4,8/2/2019,8/5/2019,Yes,No
11,20,16,10/24/2019,10/26/2019,Yes,Yes
12,49,28,8/27/2020,9/6/2020,No,No
13,39,38,11/15/2019,11/18/2019,Yes,Yes
14,11,44,6/20/2019,6/22/2019,Yes,No
15,41,33,9/21/2020,9/23/2020,Yes,No
16,4,45,3/3/2019,3/13/2019,Yes,Yes
17,31,36,9/4/2020,9/6/2020,No,No
18,47,40,10/26/2020,10/27/2020,No,No
19,48,4,6/23/2019,6/30/2019,Yes,Yes
20,2,37,7/14/2020,7/23/2020,No,No
21,3,41,6/26/2019,7/3/2019,No,No
22,40,16,7/15/2020,7/17/2020,Yes,No
23,37,46,6/15/2020,6/25/2020,No,No
24,25,35,10/2/2019,10/10/2019,No,No
25,50,19,11/11/2020,11/18/2020,No,No
26,34,38,12/24/2019,1/1/2020,No,No
27,12,1,7/22/2020,7/23/2020,No,No
28,9,20,9/8/2020,9/15/2020,Yes,Yes
29,17,39,7/15/2019,7/19/2019,Yes,No
30,39,4,8/25/2020,9/2/2020,No,No
31,24,20,9/11/2019,9/15/2019,No,No
32,14,21,11/27/2019,12/2/2019,No,No
33,15,36,8/30/2020,9/9/2020,No,No
34,19,6,7/28/2020,8/6/2020,No,No
35,13,33,11/5/2019,11/14/2019,Yes,Yes
36,41,26,6/21/2020,6/30/2020,No,No
37,10,4,10/19/2019,10/28/2019,Yes,No
38,9,29,6/19/2019,6/25/2019,No,No
39,49,6,9/21/2020,9/25/2020,No,No
40,26,38,5/17/2019,5/26/2019,Yes,Yes
41,39,50,10/3/2019,10/7/2019,Yes,Yes
42,29,36,3/10/2020,3/18/2020,No,No
43,18,1,5/22/2019,6/1/2019,Yes,Yes
44,16,30,8/4/2019,8/7/2019,No,No
45,46,25,2/4/2019,2/12/2019,Yes,No
46,7,27,11/17/2019,11/27/2019,Yes,No
47,28,15,9/20/2020,9/29/2020,Yes,Yes
48,46,4,1/31/2020,2/1/2020,Yes,No
49,10,41,2/2/2020,2/10/2020,Yes,No
50,11,6,6/27/2020,6/30/2020,Yes,Yes
51,19,1,2/1/2019,2/8/2019,No,No
52,32,8,3/25/2020,3/28/2020,Yes,Yes
53,12,43,10/7/2019,10/16/2019,No,No
54,37,8,7/11/2019,7/18/2019,Yes,Yes
55,13,50,4/22/2019,4/24/2019,Yes,Yes
56,37,38,12/8/2019,12/12/2019,Yes,Yes
57,25,31,6/15/2019,6/21/2019,Yes,No
58,23,26,9/14/2020,9/17/2020,Yes,No
59,23,34,7/6/2019,7/8/2019,Yes,No
60,17,15,2/15/2020,2/24/2020,Yes,No
61,9,46,9/28/2019,10/6/2019,Yes,Yes
62,26,42,1/29/2019,2/8/2019,No,No
63,33,29,6/8/2020,6/10/2020,Yes,Yes
64,39,12,10/28/2019,11/1/2019,Yes,No
65,25,21,11/26/2019,12/2/2019,Yes,No
66,35,15,9/4/2020,9/6/2020,Yes,Yes
67,19,44,6/26/2020,7/2/2020,No,No
68,1,3,8/28/2019,9/1/2019,No,No
69,1,27,9/15/2019,9/21/2019,Yes,Yes
70,7,25,7/19/2020,7/24/2020,No,No
71,41,21,4/1/2019,4/11/2019,No,No
72,25,11,11/9/2019,11/16/2019,Yes,No
73,2,23,9/28/2019,10/6/2019,No,No
74,43,32,5/14/2020,5/20/2020,No,No
75,33,2,8/31/2019,9/5/2019,No,No
76,49,43,4/15/2020,4/21/2020,No,No
77,21,1,1/31/2019,2/4/2019,No,No
78,19,18,11/13/2019,11/19/2019,Yes,Yes
79,24,10,2/3/2020,2/5/2020,Yes,No
80,31,9,4/8/2020,4/16/2020,No,No
81,37,37,5/31/2019,6/7/2019,No,No
82,47,24,4/24/2020,4/27/2020,No,No
83,34,8,7/9/2020,7/19/2020,No,No
84,21,4,2/25/2019,3/2/2019,No,No
85,9,23,3/10/2020,3/14/2020,Yes,Yes
86,13,4,2/17/2020,2/27/2020,No,No
87,18,34,9/19/2020,9/24/2020,Yes,No
88,19,32,4/13/2020,4/21/2020,No,No
89,20,16,10/3/2020,10/10/2020,No,No
90,34,48,12/12/2019,12/18/2019,Yes,Yes
91,28,38,9/6/2019,9/14/2019,Yes,Yes
92,27,42,5/19/2019,5/28/2019,No,No
93,46,50,3/4/2020,3/13/2020,Yes,Yes
94,42,47,3/23/2020,3/27/2020,No,No
95,50,10,8/10/2019,8/16/2019,Yes,No
96,30,42,9/26/2020,10/4/2020,Yes,No
97,15,13,10/13/2019,10/18/2019,Yes,Yes
98,46,19,3/12/2019,3/13/2019,Yes,No
99,3,30,9/15/2020,9/17/2020,Yes,No
100,43,18,12/10/2019,12/18/2019,Yes,Yes
101,16,32,10/14/2020,10/20/2020,No,No
102,45,48,9/26/2019,10/3/2019,Yes,Yes
103,48,30,1/11/2020,1/21/2020,No,No
104,42,10,5/16/2020,5/18/2020,Yes,No
105,42,30,10/23/2019,10/28/2019,No,No
106,45,13,4/23/2020,4/24/2020,No,No
107,49,32,12/16/2019,12/25/2019,Yes,Yes
108,12,21,7/26/2019,7/27/2019,Yes,Yes
109,37,35,9/6/2019,9/11/2019,No,No
110,32,25,5/18/2019,5/27/2019,Yes,Yes
111,34,45,7/9/2019,7/11/2019,No,No
112,10,40,7/6/2019,7/13/2019,Yes,No
113,23,26,10/31/2019,11/2/2019,Yes,No
114,49,11,10/24/2020,10/31/2020,Yes,Yes
115,21,50,7/13/2019,7/17/2019,Yes,No
116,20,23,3/9/2020,3/18/2020,Yes,Yes
